Model,Family,Size(B),Quant,Think,Parse_EM,Tissue_F1,Disease_F1,CellType_F1,Extract_F1_avg,Onto_F1,Cite_Recall,Cite_Prec,Grounding,Relev_F1,Domain_Acc,Org_Acc,Mod_F1,Tok/s,Composite
llama3.1-8b-q4,llama,8,Q4_K_M,False,0.9667,0.1319,0.3250,0.3606,0.2725,0.7604,0.8833,1.0000,1.0000,0.9206,0.6200,0.8200,0.8513,116.7,0.7759
llama3.1-8b,llama,8,Q8_0,False,0.8333,0.1319,0.3333,0.4359,0.3004,0.8125,0.9333,1.0000,1.0000,0.9032,0.7000,0.8200,0.8713,75.7,0.7680
aya-expanse-8b,aya,8,Q4_K_M,False,1.0000,0.1260,0.3444,0.3620,0.2775,0.6875,0.9500,1.0000,1.0000,0.8235,0.6200,0.8400,0.8880,92.5,0.7667
qwen3.5-4b,qwen,4,Q4_K_M,False,0.6333,0.0903,0.3195,0.5253,0.3117,0.8750,1.0000,1.0000,1.0000,0.8772,0.7000,0.8000,0.7833,91.5,0.7556
qwen3-1.7b+think,qwen,1.7,Q4_K_M,True,0.7000,0.1250,0.3611,0.4454,0.3105,0.7812,0.9167,1.0000,1.0000,0.8621,0.8000,0.8200,0.7533,220.5,0.7553
falcon3-7b,falcon,7,Q4_K_M,False,1.0000,0.1250,0.3542,0.4995,0.3262,0.6154,0.8667,1.0000,1.0000,0.8000,0.7200,0.7200,0.7813,102.5,0.7550
qwen3-32b+think,qwen,32,Q4_K_M,True,0.6333,0.1944,0.4639,0.5759,0.4114,0.9688,0.9667,1.0000,1.0000,0.8077,0.7600,0.7959,0.7891,29.2,0.7493
qwen3.5-9b-q8,qwen,9,Q8_0,False,0.6333,0.0861,0.3389,0.5759,0.3336,0.9062,0.9833,1.0000,1.0000,0.8077,0.7400,0.8000,0.8067,66.0,0.7474
mistral-7b-q4,mistral,7,Q4_K_M,False,0.9667,0.0903,0.3944,0.4565,0.3137,0.7917,0.8167,0.9750,0.9750,0.7200,0.5400,0.7800,0.8313,135.4,0.7466
falcon3-10b,falcon,10,Q4_K_M,False,0.9000,0.2674,0.3083,0.5773,0.3843,0.8125,0.6500,1.0000,1.0000,0.8525,0.6200,0.7800,0.8180,75.1,0.7442
qwen3-14b-q8+think,qwen,14,Q8_0,True,0.6333,0.1444,0.3750,0.5967,0.3720,0.9375,0.8833,1.0000,1.0000,0.8462,0.7200,0.8000,0.8267,48.9,0.7422
gemma3-12b,gemma,12,Q4_K_M,False,0.9000,0.1319,0.3389,0.4130,0.2946,0.9062,0.8333,1.0000,1.0000,0.8621,0.7000,0.7800,0.8333,0.0,0.7353
