Strategy,Difficulty,P@5,P@10,R@50,MRR,nDCG@10
dense,easy,0.0667,0.0458,0.4722,0.1834,0.1153
dense,medium,0.0744,0.0628,0.4574,0.2182,0.1627
dense,hard,0.0696,0.0435,0.4406,0.1216,0.0838
sparse,easy,0.0083,0.0125,0.2639,0.0433,0.0228
sparse,medium,0.0465,0.0349,0.3062,0.1042,0.0786
sparse,hard,0.0435,0.0391,0.2638,0.1366,0.0860
hybrid,easy,0.0417,0.0500,0.4722,0.1281,0.0999
hybrid,medium,0.0744,0.0581,0.4496,0.1866,0.1441
hybrid,hard,0.0696,0.0478,0.4203,0.1962,0.1062
hybrid+filter,easy,0.0417,0.0625,0.5278,0.1950,0.1423
hybrid+filter,medium,0.0837,0.0628,0.4496,0.2105,0.1627
hybrid+filter,hard,0.0870,0.0522,0.4783,0.2204,0.1247
hybrid+rerank,easy,0.0667,0.0708,0.4722,0.1611,0.1441
hybrid+rerank,medium,0.0884,0.0698,0.4496,0.2377,0.1762
hybrid+rerank,hard,0.0696,0.0783,0.4203,0.1762,0.1439
hybrid+filter+rerank,easy,0.0583,0.0667,0.5278,0.1601,0.1382
hybrid+filter+rerank,medium,0.0977,0.0698,0.4496,0.2390,0.1783
hybrid+filter+rerank,hard,0.0783,0.0783,0.4783,0.2104,0.1611
