Rank,Model,Family,Size(B),Composite,CI_Lo,CI_Hi,CI_Width
1,aya-expanse-32b,aya,32,0.7793,0.7648,0.7912,0.0263
2,qwen3.5-4b,qwen,4,0.7790,0.7639,0.7909,0.0270
3,qwen3.5-9b-q8,qwen,9,0.7539,0.7388,0.7668,0.0280
4,llama3.1-8b,llama,8,0.7510,0.7375,0.7668,0.0293
5,mistral-7b-q4,mistral,7,0.7493,0.7341,0.7651,0.0310
6,llama3.1-8b-q4,llama,8,0.7439,0.7292,0.7593,0.0301
7,gemma3-12b,gemma,12,0.7412,0.7258,0.7549,0.0291
8,aya-expanse-8b,aya,8,0.7367,0.7219,0.7505,0.0286
9,gemma3-27b-qat,gemma,27,0.7341,0.7205,0.7487,0.0282
10,qwen3-32b,qwen,32,0.7281,0.7146,0.7424,0.0278
11,yi-9b,yi,9,0.7274,0.7127,0.7427,0.0300
12,yi-6b,yi,6,0.7262,0.7116,0.7419,0.0303
13,gemma3-12b-q8,gemma,12,0.7261,0.7113,0.7416,0.0303
14,exaone3.5-7.8b,exaone,7.8,0.7234,0.7090,0.7390,0.0300
15,qwen3-14b-q8,qwen,14,0.7179,0.7029,0.7306,0.0277
16,llama3.2-3b,llama,3,0.7167,0.7024,0.7303,0.0278
17,deepseek-r1-8b+think,deepseek,8,0.7165,0.7023,0.7311,0.0287
18,deepseek-r1-14b+think,deepseek,14,0.7143,0.7000,0.7302,0.0302
19,gemma3-4b-q8,gemma,4,0.7107,0.6974,0.7250,0.0276
20,qwen2.5-14b,qwen,14,0.7080,0.6935,0.7223,0.0289
21,gemma2-9b,gemma,9,0.7045,0.6913,0.7182,0.0269
22,falcon3-7b,falcon,7,0.7043,0.6888,0.7178,0.0290
23,qwen2.5-1.5b,qwen,1.5,0.7024,0.6881,0.7166,0.0285
24,mistral-7b,mistral,7,0.7021,0.6863,0.7160,0.0297
25,falcon3-10b,falcon,10,0.7005,0.6857,0.7150,0.0293
26,solar-10.7b,solar,10.7,0.6995,0.6857,0.7140,0.0283
27,mistral-small-24b,mistral,24,0.6923,0.6773,0.7060,0.0286
28,qwen2.5-7b,qwen,7,0.6910,0.6772,0.7058,0.0286
29,internlm2-7b,internlm,7,0.6862,0.6722,0.7019,0.0297
30,glm4-9b,glm,9,0.6852,0.6702,0.6998,0.0296
31,granite3.3-2b,granite,2,0.6844,0.6695,0.6986,0.0292
32,granite3.3-8b,granite,8,0.6796,0.6651,0.6928,0.0277
33,deepseek-r1-7b+think,deepseek,7,0.6720,0.6576,0.6861,0.0285
34,qwen3-1.7b,qwen,1.7,0.6609,0.6452,0.6742,0.0290
35,qwen3-8b,qwen,8,0.6504,0.6358,0.6645,0.0287
36,mistral-nemo-12b,mistral,12,0.6461,0.6322,0.6595,0.0273
37,qwen2.5-3b,qwen,3,0.6258,0.6100,0.6398,0.0298
38,qwen3-8b-q8,qwen,8,0.6168,0.6030,0.6320,0.0290
39,falcon3-3b,falcon,3,0.6110,0.5965,0.6247,0.0282
40,exaone3.5-2.4b,exaone,2.4,0.6058,0.5937,0.6203,0.0266
41,internlm2-1.8b,internlm,1.8,0.5827,0.5676,0.5975,0.0299
42,phi4-mini,phi,3.8,0.5371,0.5250,0.5512,0.0262
43,gemma3-1b,gemma,1,0.5265,0.5118,0.5403,0.0285
44,qwen2.5-0.5b,qwen,0.5,0.5164,0.5016,0.5301,0.0284
45,llama3.2-1b,llama,1,0.5126,0.4991,0.5282,0.0292
46,phi4-14b-q8,phi,14,0.4948,0.4831,0.5114,0.0282
47,deepseek-r1-1.5b+think,deepseek,1.5,0.4355,0.4208,0.4498,0.0289
48,qwen3-4b,qwen,4,0.4331,0.4209,0.4477,0.0267
49,solar-pro-22b,solar,22,0.4045,0.3894,0.4181,0.0287
50,starcoder2-3b,starcoder,3,0.2105,0.2026,0.2260,0.0234
51,starcoder2-7b,starcoder,7,0.1334,0.1258,0.1493,0.0235
52,qwen3.5-9b-q8+think,qwen,9,0.1058,0.1041,0.1240,0.0199
